Tournament,Start,End,Location,Prize,Winner,Runner-Up
ACG BotB,02/28/14,03/29/14,Online,3500,SCYTHE 2,Rex Regum
ADL Season 2,04/08/14,06/03/14,Online,10000,mouz,Liquid
Alienware 1,06/16/13,07/09/13,Online,60000,NaVi,LGD.cn
Alienware Malaysia,09/19/12,09/25/12,Online,3000,Orange,MUFC
AMD Premier League,05/08/13,05/15/13,Online,5000,TongFu,Zenith
AMD Premier League 2,07/01/13,07/23/13,Online,5000,Orange,VG
American League,05/28/13,07/10/13,Online,10000,Liquid,EG
AOC Pro Cup,02/22/14,03/04/14,Online,2000,Orange,Arrow
Area 51 Dota 2 Cup,01/20/15,/15,Online,10000,NiP 2,VP
Armageddon GS,03/07/13,03/10/13,Singapore,8000,ABC,First Departure
Asian Cyber Games,12/27/13,12/29/13,Singapore,30000,Titan,Mineski
ASUS FBotY,12/13/12,12/16/12,Ukraine,15000,Empire,VP
ASUS Open I,05/13/12,05/13/12,Online,2988,DTS,mouz
AVerMedia D2 Cup,11/10/12,11/11/12,Online,2000,EG,NTH
Battle of America 2,11/11/14,12/05/14,Online,5000,Wh,coL 2
Battle of Central Europe 3,11/14/14,12/19/14,Online,30000,VP 2,HR
Bigpoint Battle 1,02/23/13,02/24/13,Online,2000,Liquid,mouz
Bigpoint Battle 10,11/19/13,11/20/13,Online,2700,SIGMA.int,4FC
Bigpoint Battle 11,12/22/13,12/23/13,Online,2700,Empire,Revenge
Bigpoint Battle 2,03/14/13,03/15/13,Online,2000,NaVi,Liquid
Bigpoint Battle 3,04/13/13,04/14/13,Online,2614,RoX.KIS,Empire
Bigpoint Battle 4,05/09/13,05/12/13,Online,2648,mouz,Kaipi
Bigpoint Battle 5,06/22/13,06/23/13,Online,2610,Artyk,Fnatic.EU
Bigpoint Battle 6,07/20/13,07/21/13,Online,2640,Kaipi,Fnatic.EU
Bigpoint Battle 7,09/01/13,09/02/13,Online,2700,Kaipi,Empire
Bigpoint Battle 8,09/25/13,09/26/13,Online,2700,EG,Super Strong
Bigpoint Battle 9,10/19/13,10/20/13,Online,2700,Super Strong,4FC
Bounty Hunter Asia,06/19/14,TBD,Online,2500,Arrow,Invasion 3
Bounty Hunter Series,02/08/14,10/08/14,Online,5000,Empire,C9
Brasil Game Cup,10/09/14,10/12/12014,Brazil,24800,paiN,ISG
BTS World Tour,07/16/12,08/20/12,Online,1000,CLG,iG
Canada Cup,06/15/13,06/30/13,Online,750,Denial,ROOT
Canada Cup 3,09/08/14,10/05/14,Online,4000,SNA,NaVi.US
Canada Cup 4,02/10/15,03/01/15,Online,7000,SumsRift,Wh
Canada Cup 5,04/17/15,05/21/15,Online,11898,NAR v2,Boreal 2
CEVO Season 4,04/29/14,05/21/14,Online,4117,SNA,VA
CEVO Season 6,02/25/15,03/06/15,Online,3019,bS,EHUG
CIS Carnage 2014,01/21/14,01/29/14,Online,4000,Empire,Relax
Corsair Asia Cup,04/28/14,05/11/14,Online,3000,Titan,Invasion 3
Corsair Summer 2013,06/28/13,07/26/13,Online,10000,mouz,VP
Curse Invtl.,05/04/13,05/19/13,Online,10000,Liquid,Dignitas
CyberGamer,10/03/13,12/14/13,Online,2350,Hans Reborn,Cant Say
D2 Brawl,02/11/12,03/11/12,Online,6200,mouz,coL
D2 LostWorld Cup,09/22/12,09/24/12,Online,1500,Empire,VP
D2CL,10/17/13,01/15/14,Online,50000,Alliance,Speed.int
D2CL 2,02/09/14,04/15/14,Online,124000,NaVi,C9
D2CL 4 America Qualifiers,09/03/14,10/07/14,Online,0,SNA,NaVi.US
D2CL 4 Europe Qualifiers,09/01/14,10/20/14,Online,0,Empire,NaVi
D2CL 4 Finals,10/31/14,11/02/14,Romania,76391,NaVi,mouz 2
D2CL 5 China Qualifiers,03/15/15,04/01/15,Online,0,VG,iG
D2CL 5 EU Qualifiers,02/23/15,04/22/15,Online,0,BU,Empire
D2CL 5 Finals,05/09/15,05/10/15,Germany,79650,Empire,VG
